municipio_cod,municipio_fato,data_fato,mes,ano,risp,rmbh,tentado_consumado,qtde_vitimas
311860,CONTAGEM,2022-08-08,8,2022,2º Departamento - Contagem,2) RMBH (sem BH),TENTADO,1
311860,CONTAGEM,2022-08-13,8,2022,2º Departamento - Contagem,2) RMBH (sem BH),TENTADO,1
311860,CONTAGEM,2022-10-07,10,2022,2º Departamento - Contagem,2) RMBH (sem BH),TENTADO,1
311860,CONTAGEM,2022-10-23,10,2022,2º Departamento - Contagem,2) RMBH (sem BH),TENTADO,2
311860,CONTAGEM,2022-10-25,10,2022,2º Departamento - Contagem,2) RMBH (sem BH),TENTADO,1
311880,CORACAO DE JESUS,2022-01-10,1,2022,11º Departamento - Montes Claros,3) Interior de MG,TENTADO,1
311880,CORACAO DE JESUS,2022-07-02,7,2022,11º Departamento - Montes Claros,3) Interior de MG,TENTADO,1
312230,DIVINOPOLIS,2022-02-12,2,2022,7º Departamento - Divinópolis,3) Interior de MG,TENTADO,1
312230,DIVINOPOLIS,2022-07-22,7,2022,7º Departamento - Divinópolis,3) Interior de MG,TENTADO,1
312410,ESMERALDAS,2022-11-20,11,2022,2º Departamento - Contagem,2) RMBH (sem BH),TENTADO,1
312410,ESMERALDAS,2022-12-08,12,2022,2º Departamento - Contagem,2) RMBH (sem BH),TENTADO,1
312480,ESTRELA DO SUL,2022-01-16,1,2022,9º Departamento - Uberlândia,3) Interior de MG,TENTADO,1
312610,FORMIGA,2022-07-23,7,2022,7º Departamento - Divinópolis,3) Interior de MG,TENTADO,1
312770,GOVERNADOR VALADARES,2022-03-18,3,2022,8º Departamento - Governador Valadares,3) Interior de MG,TENTADO,1
312770,GOVERNADOR VALADARES,2022-04-04,4,2022,8º Departamento - Governador Valadares,3) Interior de MG,TENTADO,1
312770,GOVERNADOR VALADARES,2022-05-13,5,2022,8º Departamento - Governador Valadares,3) Interior de MG,TENTADO,1
312840,GUARANI,2022-05-04,5,2022,4º Departamento - Juiz de Fora,3) Interior de MG,TENTADO,1
312880,GUIDOVAL,2022-06-29,6,2022,4º Departamento - Juiz de Fora,3) Interior de MG,TENTADO,1
313010,IGARAPE,2022-05-04,5,2022,2º Departamento - Contagem,2) RMBH (sem BH),TENTADO,1
313050,ILICINEA,2022-08-02,8,2022,6º Departamento - Lavras,3) Interior de MG,TENTADO,1
313130,IPATINGA,2022-04-15,4,2022,12º Departamento - Ipatinga,3) Interior de MG,TENTADO,1
313130,IPATINGA,2022-08-18,8,2022,12º Departamento - Ipatinga,3) Interior de MG,TENTADO,1
313170,ITABIRA,2022-04-30,4,2022,12º Departamento - Ipatinga,3) Interior de MG,TENTADO,1
313170,ITABIRA,2022-09-28,9,2022,12º Departamento - Ipatinga,3) Interior de MG,TENTADO,1
313190,ITABIRITO,2022-02-19,2,2022,3º Departamento - Vespasiano,3) Interior de MG,TENTADO,1
313220,ITAGUARA,2022-02-14,2,2022,2º Departamento - Contagem,2) RMBH (sem BH),TENTADO,1
313240,ITAJUBA,2022-07-30,7,2022,17º Departamento - Pouso Alegre,3) Interior de MG,TENTADO,1
313240,ITAJUBA,2022-12-23,12,2022,17º Departamento - Pouso Alegre,3) Interior de MG,TENTADO,1
313470,JACINTO,2022-08-19,8,2022,15º Departamento - Teófilo Otoni,3) Interior de MG,TENTADO,1
313510,JANAUBA,2022-10-26,10,2022,11º Departamento - Montes Claros,3) Interior de MG,TENTADO,1
313510,JANAUBA,2022-12-18,12,2022,11º Departamento - Montes Claros,3) Interior de MG,TENTADO,1
313520,JANUARIA,2022-02-28,2,2022,11º Departamento - Montes Claros,3) Interior de MG,TENTADO,1
313580,JEQUITINHONHA,2022-10-14,10,2022,15º Departamento - Teófilo Otoni,3) Interior de MG,TENTADO,1
